,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
七飯町,0.418387254,0.708395275,0.796610596,0.437345242,0.52267042,0.666037833,0.432724405,0.443775673,0.673416433,0.394521533,0.554187798,0.4224525,0.647674203,0.446571854,0.605868333,0.672280273,0.615082694
鹿部町,0.31931279,0.691543866,0.821336595,0.529153748,0.575934291,0.701349473,0.384674181,0.438432778,0.593944385,0.460958015,0.556994014,0.464714374,0.671018919,0.438182567,0.618961087,0.671433013,0.538489547
森町,0.502724365,0.682549912,0.743224357,0.537182474,0.528949937,0.680688383,0.389043326,0.460724067,0.760438575,0.416936883,0.55166435,0.469137326,0.649312713,0.444575465,0.390570659,0.686524696,0.574517569
八雲町,0.425286683,0.695690748,0.712021747,0.542353642,0.47824204,0.684500512,0.429544741,0.506840908,0.702876663,0.410881193,0.554762917,0.439281089,0.63978947,0.458432434,0.457225477,0.699277408,0.553879012
長万部町,0.556174201,0.711407213,0.700247505,0.524633736,0.538240527,0.659705401,0.42565517,0.461802514,0.65905804,0.386902103,0.563646649,0.508754398,0.650074734,0.401420486,0.410806922,0.667580638,0.796063695
江差町,0.394775704,0.70206168,0.838443756,0.489738983,0.459788584,0.684838663,0.385880314,0.460222325,0.591041674,0.448626178,0.548619458,0.431239488,0.644453376,0.431299699,0.496583548,0.687387985,0.571197912
上ノ国町,0.423596541,0.686048607,0.722415561,0.546033767,0.622250913,0.668044767,0.401834754,0.456950392,0.549056202,0.390660048,0.554431492,0.430868721,0.656794758,0.448830707,0.593444465,0.712617559,0.529168386
厚沢部町,0.463997998,0.664752583,0.733187678,0.529720648,0.673782305,0.667762683,0.41291393,0.481403699,0.532472269,0.35500403,0.553475754,0.523187869,0.658195115,0.454990395,0.402522851,0.721201612,0.874007648
乙部町,0.462644212,0.690980486,0.746981762,0.569220106,0.580002341,0.714735479,0.401415664,0.503218098,0.635975586,0.400336969,0.555219238,0.457905328,0.651816412,0.445833003,0.483682787,0.726644941,0.525025488
奥尻町,0.499017425,0.799438132,0.707859878,0.57729523,0.264023501,0.744635606,0.382882175,0.532052335,0.49255265,0.467511301,0.561684074,0.427640385,0.649157612,0.431912873,0.364453465,0.745881464,0.573319841
今金町,0.501354166,0.757515411,0.703660483,0.51963371,0.66231113,0.699957303,0.410971284,0.419021549,0.578651436,0.432386192,0.559191285,0.433350291,0.655899494,0.451013681,0.40742802,0.698365899,0.5304961
せたな町,0.425637888,0.736232244,0.712891061,0.573442643,0.717848211,0.702211191,0.416580488,0.530265182,0.435642719,0.349420218,0.554347228,0.511944454,0.657609703,0.44842353,0.48543148,0.72044419,0.958162092
島牧村,0.464870055,0.725538251,0.743480001,0.575411831,0.31434384,0.687985676,0.435576918,0.479552951,0.576421022,0.41306385,0.560023798,0.511762705,0.662504525,0.427099558,0.453416222,0.705059588,0.950965109
寿都町,0.441406474,0.734704286,0.705888655,0.437935612,0.533763396,0.727108421,0.377151023,0.493119556,0.637574765,0.396262336,0.564962862,0.45833326,0.645367436,0.447852086,0.490389771,0.653474236,0.552336644
黒松内町,0.461322928,0.701936415,0.72291224,0.544011017,0.353618652,0.725640563,0.390706462,0.519279166,0.685101596,0.376549296,0.559934947,0.426024489,0.657480259,0.454502792,0.451995586,0.725594886,0.588346483
蘭越町,0.44512423,0.810168086,0.733745885,0.544770211,0.394670472,0.645590344,0.365556105,0.537680121,0.775496273,0.375476966,0.557550342,0.422291343,0.655683336,0.45893451,0.584464106,0.726050137,0.499615967
ニセコ町,0.445315918,0.657311599,0.712704311,0.493825034,0.55416989,0.682920303,0.378633732,0.494169585,0.621334601,0.454520155,0.557315276,0.438091453,0.644402987,0.458622912,0.542882006,0.658345201,0.57466232
真狩村,0.489515142,0.67277104,0.72365049,0.511831507,0.321834554,0.667245889,0.386333094,0.500337092,0.662197738,0.425371942,0.554327701,0.472999946,0.648471444,0.462810262,0.36246578,0.633088919,0.417686391
留寿都村,0.400677896,0.807631758,0.91097234,0.400529417,0.47306564,0.686963623,0.367881736,0.532403485,0.669735457,0.446752211,0.557786739,0.478443155,0.647101094,0.374132728,0.545913377,0.669322406,0.495320116
喜茂別町,0.423786139,0.638235251,0.698711333,0.543375882,0.403999077,0.678542029,0.382787209,0.530815479,0.676636529,0.47080008,0.556155335,0.472840105,0.647223883,0.443442604,0.609053884,0.724505239,0.894874222
京極町,0.477456807,0.689426003,0.694094947,0.520169929,0.32909432,0.650872977,0.432551453,0.585577577,0.778759163,0.440098869,0.567165969,0.471387089,0.650367418,0.468333158,0.635395901,0.662690799,0.318522135
倶知安町,0.453175467,0.670820832,0.839226526,0.504537343,0.407289918,0.672666982,0.42215158,0.533283547,0.58110163,0.376627151,0.554935756,0.417232492,0.647076304,0.425977338,0.534048629,0.657336561,0.911351172
共和町,0.425314061,0.702252684,0.679081917,0.465247105,0.528426951,0.669619641,0.419297893,0.508016699,0.625360466,0.417599487,0.555481096,0.516290097,0.655267639,0.440012157,0.695175689,0.731668352,0.552554073
岩内町,0.382512552,0.69595636,0.736559448,0.512427858,0.488402997,0.677941834,0.376495912,0.523471934,0.549521372,0.420063113,0.55415641,0.41867221,0.646401057,0.349022117,0.59506998,0.695326888,0.585614472
泊村,0.49573474,0.700697265,0.698559212,0.480311086,0.391074329,0.699536788,0.420420192,0.495016958,0.661904019,0.425382413,0.555664257,0.477843586,0.630457462,0.425723046,0.584879306,0.643088614,0.411086434
神恵内村,0.340955434,0.642678702,0.86320367,0.56935488,0.310207745,0.704818548,0.374491183,0.540049165,0.583693233,0.412262279,0.55341815,0.483564928,0.679850027,0.423046082,0.508413519,0.718327552,0.367529422
積丹町,0.337983337,0.691539554,0.676118765,0.57272383,0.615246431,0.69213949,0.390467374,0.538304691,0.5778815,0.346066833,0.584913227,0.476036054,0.641362171,0.383034465,0.721098472,0.647243066,0.573233637
古平町,0.20523807,0.697680099,0.713727848,0.545594958,0.497560027,0.659826871,0.371829544,0.527793033,0.615719452,0.402554682,0.554822197,0.568440401,0.645503634,0.362238599,0.53986495,0.693555515,0.577542251
仁木町,0.388400253,0.710776943,0.678008072,0.514364351,0.495497148,0.689314928,0.413908559,0.527030716,0.777627453,0.434730144,0.558673318,0.505404303,0.655464428,0.455627906,0.532842116,0.65855257,0.61612245
余市町,0.424360577,0.682400813,0.754164188,0.510941819,0.495351022,0.681369984,0.395832739,0.488270626,0.634336514,0.373239162,0.561198073,0.438035451,0.641708977,0.424956841,0.460393014,0.68252043,0.619960487
赤井川村,0.218438441,0.706220571,0.84468002,0.511460232,0.333597532,0.684672262,0.393233537,0.438411607,0.759158953,0.447059594,0.564071763,0.428763696,0.657103405,0.561116019,0.517857075,0.717491139,0.497901754
南幌町,0.4629487,0.6798889,0.73544559,0.515756325,0.610957885,0.703500842,0.339287304,0.571043511,0.762753432,0.487689539,0.55626578,0.477471055,0.652205376,0.45750837,0.443365681,0.736655902,0.574302302
奈井江町,0.496027449,0.668538721,0.858965334,0.508718829,0.466683431,0.714602738,0.409457474,0.492999896,0.594798664,0.503230624,0.555432664,0.462703295,0.647140472,0.433314555,0.356769388,0.699585775,0.880376235
上砂川町,0.292665912,0.68965559,0.679670971,0.435600239,0.501178092,0.700259498,0.387245352,0.453320898,0.564928524,0.474750554,0.557183821,0.457553349,0.665353839,0.324996623,0.648879141,0.695230289,0.865962294
