,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
砂川市,53.34778231959392,47.602261971724694,54.512799666645016,51.80475765609478,50.73384224381764,51.14942435397507,45.60819186136942,53.45444799171849,45.79409511088823,64.31356375753941,53.31287690197033,59.00056194461533,52.37842582560032,53.36435247454093,53.65433007355199,53.402020992351915,59.96860325810216
歌志内市,46.16675350553054,36.00430320100131,28.222149297410315,51.09931213988364,63.75156315805387,52.866331939805164,36.16221489585823,60.4953448007274,55.680674452267354,83.77846527374734,25.01436650257829,57.378203927205426,46.502472121015145,48.43081354976539,42.23589837604864,46.74876508383632,50.87451072461883
深川市,47.19505209864311,57.65969047900352,51.5068821313801,52.01265927596054,47.96236534383949,64.57179499642275,40.216302501116644,48.02379607622528,39.91282039917204,45.52534561806766,44.826124377069334,48.18036096296082,48.34807560966381,50.462514875318696,50.38043449399745,57.73675318001972,46.183528147300265
富良野市,50.16030615330182,58.611483865581484,50.27149186953424,53.570200249682756,45.61881808622499,52.78085948794945,45.07837060637038,57.531191692776694,51.57950396740468,40.05647893592331,44.46741227739197,48.60153276734878,47.91841023764901,58.03174325176479,57.20668021267511,55.07386650898904,59.80665469925188
登別市,45.85645460809774,45.38481909451145,41.658340475204334,42.35001124132672,51.2574049924411,46.152726827269674,45.605968299542056,37.794658251903805,48.917702391270446,59.438257477968236,51.088292606861486,45.00694436667842,49.25825408141029,44.01055071203272,36.34099663615555,40.110726326023006,54.69799833445591
恵庭市,46.41474777324952,45.314836577991244,57.246665447346714,28.12681003446912,45.37595804351675,42.76257936350276,40.859315464848144,37.477124449374145,44.15488171504681,65.64222902344183,60.248529671501586,46.434501535204994,47.55464480141435,43.73563527262969,53.88693561837387,45.86658051557917,73.6210320315303
伊達市,49.164471970455416,58.373741016475144,32.008161461900656,48.31383953762267,49.452667723160964,53.41933571554236,47.12341388477705,41.284753024786056,38.47296396424031,48.50534177564886,53.568948518432705,53.10756035982921,47.41710117757696,49.48162967225034,49.66285836808353,55.99346760744039,59.86856375126576
北広島市,43.70597079925659,42.65819243096473,60.45910136827087,41.37510657120582,47.905887402183055,41.629483882045044,64.53551593475815,44.24176790510339,53.56890803923109,61.19440604810047,55.17712977497815,51.55892806099096,51.27303722353891,41.92478481904512,47.91010281439744,40.784196408107384,58.507998378728864
石狩市,46.25173638563489,53.92777430519635,49.99914988046428,45.14949506086718,49.4198041746402,42.88581365586751,34.78536951833896,36.99914058702858,60.149394595498215,51.30002021574119,51.83853137442412,45.35236098825317,53.72410152206487,41.72272756394258,42.400669659605214,49.91828602659172,58.0943808823817
北斗市,51.28326393421296,48.65827911290367,26.62163243169929,45.430106231844896,50.425601169996895,45.15605724490997,44.46614695394329,44.502625982307244,63.952733856398524,53.37351614519362,52.34356543574103,46.67432681334204,48.54776936040588,50.496300699602806,48.71234803302534,49.606754348336594,61.74265820108808
当別町,57.18773043092054,61.79112908275231,47.22292948882777,47.03463294738992,47.34376603612058,51.32448573108902,48.48615383443836,47.11739624511767,37.974573162663475,43.36432044154681,44.02457147782579,44.08022396776736,49.76007975053554,55.330983577032065,68.00408541310267,40.397358791204354,60.58290405172908
新篠津村,41.43841764586556,62.04301952919041,20.483980110918793,53.963940673667885,47.11961450577872,30.489871090208847,49.72279023426991,56.974773497129696,52.98772517957803,15.715293821845647,31.491822568543487,45.18682553630914,34.0249636595974,61.814538425555845,56.89814193382151,50.8619373044442,51.53108660811599
松前町,42.562290054035486,64.35475583322791,25.868948356976706,67.31308994709292,57.0341913141756,40.46145852301631,48.46739086083516,49.27201879739677,27.492720810594008,28.69129775079277,28.439469533132023,46.16910794309853,40.21756761599396,59.26903239184652,46.24095377071136,54.5765349816116,40.81462053083046
福島町,39.06510851118716,59.5292724281275,27.746470775697762,70.78400703395889,58.99047556324221,50.69010250638916,45.60359855735423,53.45863626027747,47.40823247128701,27.098512038050472,13.20527073052577,35.07397074825246,40.02356370741359,64.22368831985048,42.485479598959664,58.48265253682191,42.09689101976566
知内町,43.2773215262454,60.21477641866583,29.22234496648185,66.23605791227337,47.887402578601524,61.49121895695656,37.59021326900616,53.066891794328654,58.62674066415268,40.28234895224764,42.589678523600966,42.679414554147996,42.71522252284324,58.98556455364948,63.47718936800539,59.184434585427226,51.25004455075781
木古内町,44.278281162046696,47.67364891650867,30.787027014691116,61.323876470241515,60.88190085113547,52.481230373648835,45.91587642873982,50.793911895766406,57.24516942696878,43.75273545867393,26.89769830874708,51.40735815208875,46.21138069932474,55.9386613273161,45.77384533349041,58.81716955081179,36.1831609458141
七飯町,51.29545861805135,66.25953051968257,40.43913743429643,44.687805212381235,45.83804620567149,51.26428412267538,39.38692107992027,34.71251656309477,50.373162553279684,50.03272247003255,50.63924287193225,48.91230193007507,41.23323429358056,45.26395354431131,49.84129359915405,44.31001303906321,45.07032377757767
鹿部町,44.92894439044836,58.55352254741779,29.355237810926603,59.34722551688581,48.78334113136286,33.9833479211085,38.40157595793475,50.27873264495612,54.33603354664511,9.43294779374063,33.58966733736965,36.31730775207123,41.12216070130889,67.44832101908469,50.53281269905033,50.813585228206605,51.52735668877473
森町,45.53122364850605,59.01456972452285,20.42357823063673,58.992993099154354,50.837522871193855,49.407643759406554,39.169738582373235,47.41142952513561,52.90425253678893,24.274260552134635,41.640923702850415,50.90874146265075,41.644282547779724,56.942997209425236,59.71983128097476,57.03537687164019,49.509572797391634
八雲町,50.50710783275649,67.50102779556705,41.1534419490603,50.4293793231119,47.10647735856203,65.27306484362536,43.459769720497306,55.65645722995968,43.31260693993442,28.34479773330814,43.34089236848947,41.15130481818925,44.437923683945705,68.35861202236381,66.62775230956737,60.84926861086301,54.889542877885454
長万部町,43.74384537274147,58.449980448162485,35.281892834301665,52.11606135145735,52.81054308642224,54.483740582434706,36.75477541271345,58.83219293398517,52.92279677794214,39.18786070613011,37.15593395342475,36.902015328464934,43.55284341304901,64.4022541028913,61.29516706124032,64.7934690084105,46.102403335127704
江差町,47.770200367869485,49.33126319421563,39.67890983155531,55.49645573891947,49.85136591605636,67.10273598652324,42.47402513264652,54.002392467715424,44.10609734222591,52.38023430820764,33.377031242951254,54.691158140641875,46.888562622239746,55.4375842075442,55.46285210159796,53.70830997009388,27.522685877698866
上ノ国町,37.452367834869825,59.94060959025074,13.702985409132907,68.07774544553966,54.361228815714526,52.97182029730871,49.769979828033414,46.50108934963655,46.32923154850418,50.32729520110749,23.824335827361093,47.11826591351267,36.91136843194516,65.15155195384838,54.53567654389394,53.78089877060043,40.539605399234034
厚沢部町,51.73810615450542,65.17129059551061,36.18286817240778,67.67951016889657,51.93442479257099,39.488409880783585,50.113577525234234,55.38385803369553,11.676071771920375,34.25648532563983,26.717310580803062,45.718059254782965,44.726207943162485,65.25684485000367,60.60641625361016,43.05533948414774,37.527263650105084
乙部町,46.48296272291528,49.35883274595725,32.25375465099452,66.40750075667668,51.01936326906239,49.35770484672634,45.00065928312148,49.102787228619874,51.57000485453742,53.29001627629848,32.51069389247837,49.61955327713924,38.294981620893054,59.31723812656997,55.62008469740428,55.71808542559379,46.262027045195005
奥尻町,39.08981379412168,47.916931495983455,22.216804556690956,63.63211491449498,52.76721428288435,31.119339395207295,48.21879694199638,58.787858347683944,30.049865445249957,44.41102908463481,25.722236572161606,38.10374216594936,45.47806690607282,55.60106162956006,60.182787357803576,55.71750856756855,55.168549853426185
今金町,43.123196418793555,63.5645310944064,41.815758236925696,52.525690788881896,52.93818153347487,42.39194902407247,56.32649696485461,60.50439641958696,53.592886907714266,28.986600339591888,35.7846692068098,44.0418169474252,46.807817667067866,62.920774410210754,66.46781025460918,62.84169527988364,54.256108289334016
せたな町,43.209385928416985,59.08421114354261,40.46563787751559,60.057294737511846,56.410642886016994,53.65182421551864,50.34633190517762,57.774181643496384,35.0433420820216,32.16373329331267,26.48379875837331,43.16831767249558,43.84480687312826,59.754263502728264,59.96798346740152,57.89934976214449,41.03016588299593
島牧村,42.97420628162732,51.904369783088725,30.047104614277547,69.4021010882628,56.20627321410887,54.85700419322897,48.795742939524786,55.08510421170446,61.93476995638355,81.93108538181914,14.835788206742256,44.73844660104888,35.79420621197325,57.99653288964413,50.7342243820187,59.813592162053,29.17581890795776
寿都町,38.12237977194439,56.78617326630313,34.641354579194896,59.28002066957454,55.9529086739734,45.09479951519414,45.394436361196185,56.7410104998733,56.80057577324946,57.98326894622829,29.62650570636281,50.51343476299671,46.841262280097,51.722565908292616,54.0595644463271,67.05059841394106,40.245417748969736
黒松内町,37.51581126188367,60.90483548150942,41.037585213281815,50.58624838341219,55.20610882369095,56.43370360763953,52.861294813785186,59.27420615054147,58.97114813519335,82.93419361182293,18.874483390245402,52.84082372764054,42.86396112956433,54.72503019384075,56.30969997753653,59.51748937256125,45.92972839303004
蘭越町,47.71999904640906,59.881679346062754,36.61563740792385,58.8889858360209,56.31564274727413,52.03546861563251,60.82822415094834,61.76080957373765,59.4390829717278,83.74226463579748,32.64106810262412,45.202398497690034,47.23601269649114,60.89411936280105,57.32809281447091,52.721486945102505,48.22500005769833
ニセコ町,48.506955354357665,50.57142120085902,33.90070516421208,43.801037581049165,49.228240082523264,51.131903897581445,41.692368428389045,56.7612411846921,47.104786466699586,83.98284292936876,42.371144549836146,46.19909606235102,54.56667298969634,51.33550571712148,70.92669805215537,53.15176029521954,57.16550349320486
真狩村,42.90419112030194,64.34855291369178,37.22850767097714,53.73230379423419,47.392583514585695,55.50856261281781,48.87811896003347,61.764960633473486,53.017597267859216,82.97988700106932,41.07859812110548,48.456871119254586,36.720014844840335,51.0167308730115,63.32898298544881,51.79620055713775,50.64545395758585
留寿都村,38.84566719811655,68.19500857729946,36.11248469005629,41.72288979323038,46.85340022397303,65.17803804844051,50.84247076530818,59.548421564113404,69.79914685812946,84.45800812536702,51.727026862010405,48.03527786152906,46.45415246074962,54.487396881704896,78.61273347342089,70.92448043433261,46.17340322513757
喜茂別町,45.996911003209796,62.66434359553723,31.910591274794264,56.29313864064386,52.55574246982695,43.54824954156775,47.93959531296328,65.9234625246706,56.75833766111623,82.79897152487682,34.78067416533129,47.43994502562716,46.86806052832436,49.66899202238421,58.77585041330051,56.03820634004456,57.84677910167982
京極町,46.02756984184852,66.47058689519993,33.050739383489905,52.80101546785762,52.823989884817436,28.992550127772397,49.758908958456075,59.73238613195988,47.28709452200395,82.28546417106077,41.17891971373719,49.452687000684826,49.244904960205545,53.11293364071006,63.253648215181556,54.22135370985253,68.31495856667333
倶知安町,51.435800740869595,49.94717614064712,56.585449277053755,36.44714103078376,38.5994737576787,55.298541781771945,45.59463222409842,50.84474964156473,48.94771203498634,82.7172836398202,59.55759667888806,48.239900573948155,52.22036577068202,50.78195599527502,67.12346532183578,59.13537800522036,61.08644995144379
共和町,48.33176654207148,53.63405399423936,35.976972541878446,58.63806017746758,45.67166600927536,50.54998672303378,44.541759516552126,61.04970114731704,50.49369450010624,84.01348952146984,47.850223660906835,48.509484626367794,47.21790662840776,51.04038044977573,70.8966492060011,53.25428913803276,52.30345020362708
岩内町,49.06086371736887,34.02713072604548,20.608609150374672,40.54402677659649,51.260544387359666,55.33779264915278,44.60057353149856,55.11601197821946,45.13366317462877,59.42181624461822,34.54588924733236,51.604754124789345,50.682465058661286,49.07924737490031,47.76196688215965,51.62677145970661,37.33097624214413
